Declaration SAVED by EMPLOYEE17 | 0 days 00:00:00
Declaration SUBMITTED by EMPLOYEE25 | 15 days 11:35:10
Declaration APPROVED by PRE_APPROVER60 | 16 days 15:53:14
Declaration APPROVED by ADMINISTRATION54 | 15 days 15:42:10
Declaration REJECTED by ADMINISTRATION61 | 0 days 02:18:26
Declaration SUBMITTED by EMPLOYEE53 | 1 days 12:29:07
Declaration APPROVED by ADMINISTRATION10 | 11 days 02:54:01
Declaration FINAL_APPROVED by SUPERVISOR11 | 11 days 04:08:55
Request Payment12 | 14 days 15:10:08
Payment Handled23 | 15 days 17:28:03
Declaration APPROVED by ADMINISTRATION62 | 1 days 14:06:01
Declaration REJECTED by BUDGET OWNER38 | 2 days 12:59:42
Declaration REJECTED by EMPLOYEE8 | 7 days 08:27:55
Declaration SUBMITTED by EMPLOYEE55 | 7 days 08:59:15
Declaration REJECTED by EMPLOYEE64 | 9 days 01:01:06
Declaration APPROVED by ADMINISTRATION56 | 7 days 10:56:18
Declaration REJECTED by BUDGET OWNER63 | 8 days 07:00:02
Declaration REJECTED by SUPERVISOR57 | 8 days 04:31:03
Declaration SUBMITTED by EMPLOYEE9 | 11 days 02:15:39
Declaration REJECTED by EMPLOYEE20 | 3 days 03:24:51
Declaration SUBMITTED by EMPLOYEE21 | 5 days 05:17:28
Declaration REJECTED by EMPLOYEE52 | 0 days 19:40:30
Declaration REJECTED by SUPERVISOR51 | 0 days 06:50:47
Declaration APPROVED by PRE_APPROVER22 | 6 days 11:18:11
Declaration APPROVED by ADMINISTRATION39 | 0 days 01:01:27
Declaration APPROVED by BUDGET OWNER5 | 3 days 00:42:17
Declaration REJECTED by BUDGET OWNER40 | 0 days 13:00:04
Declaration REJECTED by SUPERVISOR18 | 3 days 22:19:21
Declaration REJECTED by EMPLOYEE44 | 3 days 23:10:46
Declaration REJECTED by PRE_APPROVER19 | 1 days 17:17:23
Declaration REJECTED by ADMINISTRATION7 | 6 days 11:43:28
Declaration REJECTED by EMPLOYEE94 | 6 days 16:45:24
Declaration SUBMITTED by EMPLOYEE95 | 6 days 18:14:01
Declaration REJECTED by ADMINISTRATION96 | 6 days 18:14:07
Declaration APPROVED by PRE_APPROVER6 | 1 days 04:12:41
Declaration FINAL_APPROVED by SUPERVISOR2 | 3 days 14:38:49
Declaration REJECTED by MISSING24 | 7 days 21:51:26
Request Payment3 | 6 days 18:46:49
Payment Handled4 | 10 days 08:38:16
Declaration APPROVED by ADMINISTRATION1 | 1 days 07:01:30
