Declaration SAVED by EMPLOYEE17 | 0 days 00:00:00
Declaration APPROVED by PRE_APPROVER77 | 23 days 20:50:13
Declaration APPROVED by ADMINISTRATION36 | 20 days 20:48:31
Declaration SUBMITTED by EMPLOYEE29 | 22 days 06:13:33
Declaration APPROVED by ADMINISTRATION30 | 22 days 06:14:58
Declaration FINAL_APPROVED by SUPERVISOR15 | 16 days 11:10:55
Request Payment16 | 19 days 06:28:10
Payment Handled13 | 20 days 11:08:02
Declaration FINAL_APPROVED by SUPERVISOR31 | 22 days 17:49:27
Declaration REJECTED by MISSING45 | 27 days 21:19:18
Request Payment32 | 26 days 00:17:51
Payment Handled33 | 29 days 13:23:26
Declaration REJECTED by ADMINISTRATION34 | 16 days 01:32:18
Declaration REJECTED by PRE_APPROVER58 | 11 days 09:23:57
Declaration REJECTED by EMPLOYEE59 | 11 days 22:26:43
Declaration SUBMITTED by EMPLOYEE97 | 13 days 20:38:32
Declaration SUBMITTED by EMPLOYEE26 | 19 days 02:17:19
Declaration REJECTED by ADMINISTRATION27 | 19 days 04:52:18
Declaration SUBMITTED by EMPLOYEE25 | 15 days 11:35:10
Declaration APPROVED by PRE_APPROVER60 | 16 days 15:53:14
Declaration APPROVED by ADMINISTRATION54 | 15 days 15:42:10
Declaration REJECTED by ADMINISTRATION61 | 0 days 02:09:11
Declaration SUBMITTED by EMPLOYEE53 | 1 days 12:32:40
Declaration APPROVED by ADMINISTRATION10 | 11 days 02:35:22
Declaration FINAL_APPROVED by SUPERVISOR11 | 11 days 04:08:55
Request Payment12 | 14 days 15:10:08
Payment Handled23 | 15 days 17:28:03
Declaration APPROVED by ADMINISTRATION62 | 1 days 14:06:01
Declaration REJECTED by BUDGET OWNER38 | 2 days 12:59:42
Declaration REJECTED by EMPLOYEE8 | 7 days 08:20:11
Declaration SUBMITTED by EMPLOYEE55 | 7 days 08:59:15
Declaration REJECTED by EMPLOYEE64 | 9 days 03:02:30
Declaration SUBMITTED by EMPLOYEE102 | 9 days 19:19:24
Declaration REJECTED by ADMINISTRATION103 | 9 days 19:19:33
Declaration APPROVED by ADMINISTRATION56 | 7 days 10:56:18
Declaration REJECTED by BUDGET OWNER63 | 8 days 07:00:02
Declaration REJECTED by SUPERVISOR57 | 8 days 06:40:04
Declaration SUBMITTED by EMPLOYEE9 | 11 days 01:57:21
Declaration REJECTED by EMPLOYEE20 | 3 days 03:24:51
Declaration SUBMITTED by EMPLOYEE21 | 5 days 05:17:28
Declaration REJECTED by EMPLOYEE52 | 0 days 19:34:10
Declaration SUBMITTED by EMPLOYEE104 | 1 days 01:05:16
Declaration REJECTED by SUPERVISOR51 | 0 days 06:50:47
Declaration APPROVED by PRE_APPROVER22 | 6 days 11:18:11
Declaration APPROVED by ADMINISTRATION39 | 0 days 01:00:23
Declaration APPROVED by BUDGET OWNER5 | 3 days 00:42:07
Declaration REJECTED by BUDGET OWNER40 | 0 days 13:00:04
Declaration REJECTED by SUPERVISOR18 | 3 days 22:06:45
Declaration REJECTED by EMPLOYEE44 | 3 days 23:10:46
Declaration REJECTED by PRE_APPROVER19 | 1 days 17:17:23
Declaration REJECTED by ADMINISTRATION7 | 6 days 11:47:51
Declaration REJECTED by EMPLOYEE94 | 6 days 16:45:24
Declaration SUBMITTED by EMPLOYEE95 | 6 days 18:14:01
Declaration REJECTED by ADMINISTRATION96 | 6 days 18:14:07
Declaration APPROVED by PRE_APPROVER6 | 1 days 04:12:41
Declaration FINAL_APPROVED by SUPERVISOR2 | 3 days 14:38:49
Declaration REJECTED by MISSING24 | 7 days 21:51:26
Request Payment3 | 6 days 18:46:49
Payment Handled4 | 10 days 08:38:16
Declaration APPROVED by ADMINISTRATION1 | 1 days 07:01:28
